Data,Contagem de Minutos em movimento,Calorias (kcal),Distância (m),Pontos cardio,Minutos de cardio,Frequência cardíaca média (bpm),Frequência cardíaca máxima (bpm),Frequência cardíaca mínima (bpm),Latitude mínima (graus),Longitude mínima (graus),Latitude máxima (graus),Longitude máxima (graus),Velocidade média (m/s),Velocidade máxima (m/s),Velocidade mínima (m/s),Contagem de passos,Peso médio (kg),Peso máximo (kg),Peso mínimo (kg),Duração de Bicicleta (ms),Duração de Inativa (ms),Duração de Caminhada (ms),Duração de Corrida (ms),Duração de Patinete (ms),Duração de Outra (ms)
2015-06-13,,1583.8780894608612,2553.3634629249573,,,,,,,,,,1.1052141625729404,1.5,0.75,6516,,,,,76540265,3130624,215282,,
2015-06-14,,1441.555612772489,174.04123504459858,,,,,,,,,,2.3965144610801925,10.25,0.5,1433,,,,,76169956,418952,,,
2015-06-15,,1713.8776990332567,7124.062762320042,,,,,,,,,,1.1361704075251056,1.5811388492584229,0.5,10501,,,,,77707497,5269104,486139,,
2015-06-16,,1714.402364035859,6103.025141477585,,,,,,,,,,0.9013878107070923,0.9013878107070923,0.9013878107070923,12871,,,,,76838031,6663464,,,
2015-06-17,,1446.949749105081,344.5626034140587,,,,,,,,,,1.1810630404944482,4.366062164306641,0.5,1319,,,,,80906011,542406,,,
2015-06-18,,1570.3376625954384,3546.646391451359,,,,,,,,,,1.308856211859179,2.3048861026763916,1.0,6484,,,,,82953319,3366323,,,
2015-06-19,,1584.3347324700958,2608.7974111139774,,,,,,,,,,1.8817982496599526,4.190763473510742,0.5,6570,,,,,81382671,3664575,,,
2015-06-20,,1598.6446458522687,2082.2603111863136,,,,,,,,,,1.9471225777296917,3.75,0.55901700258255,11019,,,,,66590398,3898734,,,
2015-06-21,,1435.3078799034217,120.7838773727417,,,,,,,,,,1.0808767759510487,2.75,0.5,2534,,,,,79632006,275964,,,
2015-06-22,,1669.6052279035255,6039.008330147713,,,,,,,,,,1.032972326422992,16.5,0.5,10885,,,,,77727467,5638212,,,
