wavelength_nm,river,depth,mean,sd,se,n,mean_l,mean_h,depth_cm,water_type,wavelength_label
355,baia,5500,-2.1030033333333334e-4,1.03979784887897e-4,6.003275679530672e-5,3,-2.7033309012864005e-4,-1.5026757653802662e-4,63.184,black,355 nm
355,baia,6000,-3.71165e-4,NA,NA,1,NA,NA,68.928,black,355 nm
355,baia,6500,-3.469468666666667e-4,2.4174650763858686e-4,1.3957241126079004e-4,3,-4.8651927792745675e-4,-2.0737445540587666e-4,74.672,black,355 nm
355,baia,7000,-5.81371e-4,1.6394011762530856e-4,9.465087104195082e-5,3,-6.760218710419509e-4,-4.867201289580492e-4,80.416,black,355 nm
355,distilled,1000,1.01856,NA,NA,1,NA,NA,11.488,distilled,355 nm
355,distilled,10000,0.94124,NA,NA,1,NA,NA,114.88,distilled,355 nm
355,distilled,2000,0.96639,NA,NA,1,NA,NA,22.976,distilled,355 nm
355,distilled,4000,0.96038,NA,NA,1,NA,NA,45.952,distilled,355 nm
355,distilled,6000,0.97786,NA,NA,1,NA,NA,68.928,distilled,355 nm
355,distilled,8000,0.95699,NA,NA,1,NA,NA,91.904,distilled,355 nm
355,ivinhema,1000,0.4838366666666667,0.02755433238772687,0.015908501221394533,3,0.46792816544527216,0.4997451678880612,11.488,white,355 nm
